N,Area,RelativeError,Run
42600,0.940767,0.00397083,0
42600,0.943385,0.00119872,1
42600,0.947431,0.00308546,2
42600,0.947947,0.00363148,3
42600,0.941917,0.00275278,4
42600,0.947828,0.00350548,5
42600,0.941401,0.0032988,6
42600,0.946083,0.0016574,7
42600,0.940172,0.00460086,8
42600,0.944853,0.000355347,9
43100,0.943067,0.00153532,0
43100,0.931029,0.0142803,1
43100,0.954634,0.0107115,2
43100,0.941224,0.0034865,3
43100,0.949733,0.00552214,4
43100,0.941969,0.00269772,5
43100,0.938675,0.00618494,6
43100,0.944949,0.000457379,7
43100,0.945694,0.00124615,8
43100,0.947263,0.00290673,9
43600,0.945198,0.000721224,0
